Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2006,10002,Bonavista--Gander--Grand Falls--Windsor,LIB,89743,38365,38175,19866,15376,2668,0,265,0
2006,10003,Humber--St. Barbe--Baie Verte,LIB,76467,32722,32531,17208,10137,4847,0,339,0
2006,10004,Labrador,LIB,27864,11467,11415,5768,4528,1037,0,82,0
2006,10005,Random--Burin--St. George's,LIB,76089,30143,30012,13652,12232,3702,0,426,0
2006,10006,St. John's East,CPC,81007,41158,41047,14345,19110,7190,0,402,0
2006,10007,St. John's South--Mount Pearl,CPC,82212,37371,37247,12295,16644,8073,0,235,0
2006,11001,Cardigan,LIB,34777,20649,20533,11542,6923,1535,0,533,0
2006,11002,Charlottetown,LIB,32245,19226,19112,9586,6524,2126,0,586,290
2006,11003,Egmont,LIB,35208,19469,19350,10288,5991,1847,0,1005,219
2006,11004,Malpeque,LIB,33064,19485,19371,9779,6708,1983,0,901,0
2006,12001,Cape Breton--Canso,LIB,75221,40569,40281,21424,9740,8111,0,1006,0
2006,12002,Central Nova,CPC,73722,42286,42139,10349,17134,13861,0,671,124
2006,12007,Cumberland--Colchester--Musquodoboit Valley,CPC,87507,43319,43116,10299,22439,8944,0,910,524
2006,12003,Dartmouth--Cole Harbour,LIB,88507,45125,44959,19027,10259,14612,0,1005,56
2006,12004,Halifax,NDP,88931,50171,49962,15437,8993,23420,0,1948,164
2006,12005,Halifax West,LIB,79933,44353,44206,21818,10184,10798,0,1406,0
2006,12006,Kings--Hants,LIB,79286,42961,42784,19491,13772,8138,0,947,436
2006,12008,Sackville--Eastern Shore,NDP,83655,43277,43152,9921,9450,22848,0,933,0
2006,12009,South Shore--St. Margaret's,CPC,83694,41173,41000,11629,15108,11689,0,1198,1376
2006,12010,Sydney--Victoria,LIB,79294,40882,40655,20277,7455,11587,0,1336,0
2006,12011,West Nova,LIB,88257,45464,45190,17734,17222,8512,0,1040,682
2006,13001,Acadie--Bathurst,NDP,82929,51015,50492,15504,8513,25195,0,699,581
2006,13002,Beauséjour,LIB,73871,46856,46295,22012,14919,7717,0,1290,357
2006,13003,Fredericton,LIB,82782,47218,47011,19649,16292,9988,0,884,198
2006,13004,Fundy Royal,CPC,67287,36747,36494,9979,17630,7696,0,1189,0
2006,13005,Madawaska--Restigouche,LIB,65877,36982,36125,13734,12849,8322,0,1220,0
2006,13006,Miramichi,LIB,56464,33383,33024,13960,11250,5587,0,587,1640
2006,13007,Moncton--Riverview--Dieppe,LIB,83191,48406,48036,22918,14464,9095,0,1409,150
2006,13008,New Brunswick Southwest,CPC,63529,33342,33132,8877,18155,5178,0,922,0
