event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	candidate_occupation_english	candidate_occupation_french	elected_indicator	incumbent_indicator	candidate_vote	candidate_vote_percentage	candidate_residence	candidate_province_english	candidate_province_french	candidate_party_english_name	candidate_party_french_name
3700	ED35-027	3	Gary		Muntz	M	Administrator	Administrateur	N	N	5761	12.93	Port Dover	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-027	4	Bob		Speller	M	Parliamentarian	Parlementaire	Y	Y	20867	46.82	Waterford	Ontario	Ontario	Liberal	Libéral
3700	ED35-027	5	Norm		Walpole	M	Retired Teacher-Principal	Directeur-Enseignant retraité	N	N	2124	4.77	Waterford	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-028	1	Tom		Adams	M	Risk Management Professional	Spécialiste de la gestion des risques	N	N	1018	1.71	Oakville	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-028	2	Tim		Dobson	M	Manager-Chemist	Gestionnaire-Chimiste	N	N	15656	26.27	Milton	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-028	3	Brenda		Dolling	F	Retired Teacher	Enseignante retraitée	N	N	2633	4.42	Burlington	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-028	4	Tom		Kilmer	M	President-Engineer	Président-Ingénieur	N	N	12114	20.33	Georgetown	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-028	5	Julian		Reed	M	Parliamentarian	Parlementaire	Y	Y	28168	47.27	Halton Hills	Ontario	Ontario	Liberal	Libéral
3700	ED35-029	1	Michael		Baldasaro	M	Minister	Ministre	N	N	575	1.85	Hamilton	Ontario	Ontario	Marijuana Party	Parti Marijuana
3700	ED35-029	2	Salvatore	Sam	Cino	M	Pipefitter	Tuyauteur	N	N	270	0.87	Stoney Creek	Ontario	Ontario	Independent	Indépendant
3700	ED35-029	3	Joshua		Conroy	M	Produce Clerk 	Responsable des fruits et légumes	N	N	6039	19.42	Hamilton	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-029	4	Sheila		Copps	F	Parliamentarian	Parlementaire	Y	Y	16435	52.85	Hamilton	Ontario	Ontario	Liberal	Libéral
3700	ED35-029	5	Helene		Darisse-Yildirim	F	Teacher	Enseignante	N	N	97	0.31	Niagara Falls	Ontario	Ontario	Natural Law Party	Parti de la loi naturelle
3700	ED35-029	6	Julie		Gordon	F	Stay-at-home Mother	Mère de famille	N	N	105	0.34	Hamilton	Ontario	Ontario	Marxist-Leninist	Marxiste-Léniniste
3700	ED35-029	7	Steven		Knight	M	Gemologist	Gemmologiste	N	N	3321	10.68	Hamilton	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-029	8	Bob		Mann	M	Retiree	Retraité	N	N	144	0.46	Hamilton	Ontario	Ontario	Communist	Communiste
3700	ED35-029	9	Jim		Stevenson	M	Steelworker	Métallo	N	N	4111	13.22	Stoney Creek	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-030	1	Rolf		Gerstenberger	M	Steelworker	Métallo	N	N	259	0.59	Hamilton	Ontario	Ontario	Marxist-Leninist	Marxiste-Léniniste
3700	ED35-030	2	Beth		Phinney	F	Parliamentarian	Parlementaire	Y	N	22536	50.91	Hamilton	Ontario	Ontario	Liberal	Libéral
3700	ED35-030	3	Mike		Scott	M	Sales and Leasing Consultant	Consultant en vente et location	N	N	9621	21.73	Hamilton	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-030	4	John		Smith	M	Teacher	Enseignant	N	N	7467	16.87	Hamilton	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-030	5	James		Stephenson	M	Loans Manager	Directeur des prêts	N	N	4387	9.91	Hamilton	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-031	1	Ron		Blackie	M	Retired Area Manager	Directeur régional retraité	N	N	5024	12.45	Hamilton	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-031	10	Rita		Rassenberg	F	Real Estate Agent	Agente immobilière	N	N	94	0.23	Hamilton	Ontario	Ontario	Natural Law Party	Parti de la loi naturelle
3700	ED35-031	2	Hamish	Jamie	Campbell	M	Student	Étudiant	N	N	616	1.53	Hamilton	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-031	3	Stephen		Downey	M	Assistant Manager	Gestionnaire adjoint	N	N	163	0.4	Hamilton	Ontario	Ontario	No Affiliation	Aucune appartenance
3700	ED35-031	4	Wendell		Fields	M	Rotational Moulder	Mouleur par rotation	N	N	61	0.15	Hamilton	Ontario	Ontario	Marxist-Leninist	Marxiste-Léniniste
3700	ED35-031	5	Catherine		Hudson	F	Teacher	Enseignante	N	N	5300	13.13	Hamilton	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-031	6	Danielle		Keir	F	Sales	Vente	N	N	437	1.08	Toronto	Ontario	Ontario	Marijuana Party	Parti Marijuana
3700	ED35-031	7	Stan		Keyes	M	Parliamentarian	Parlementaire	Y	Y	21273	52.72	Flamborough	Ontario	Ontario	Liberal	Libéral
3700	ED35-031	8	Mike		Mirza	M	Auto Mechanic	Mécanicien d'automobile	N	N	91	0.23	Hamilton	Ontario	Ontario	Communist	Communiste
3700	ED35-031	9	Leon		O'Connor	M	Educational Assistant	Éducateur adjoint	N	N	7295	18.08	Hamilton	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-032	1	Ross		Baker	M	Self-employed	Travailleur indépendant	N	N	207	0.48	Arden	Ontario	Ontario	Independent	Indépendant
3700	ED35-032	2	Paul		Isaacs	M	Engineer	Ingénieur	N	N	156	0.36	Addington Highlands	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-032	3	Daryl		Kramp	M	Self-employed Businessman	Homme d'affaires indépendant	N	N	10231	23.48	Centre Hastings	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-032	4	Sean		McAdam	M	Political Advisor	Conseiller politique	N	N	13227	30.35	Chelsea	Quebec	Québec	Canadian Alliance	Alliance Canadienne
3700	ED35-032	5	Larry		McCormick	M	Parliamentarian	Parlementaire	Y	Y	16996	39	Stone Mills	Ontario	Ontario	Liberal	Libéral
3700	ED35-032	6	Tom		O'Neill	M	Correctional Officer	Agent de correction	N	N	2200	5.05	Greater Napanee	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-032	7	Kenneth		Switzer	M	Self-employed	Travailleur indépendant	N	N	43	0.1	Marmora	Ontario	Ontario	No Affiliation	Aucune appartenance
3700	ED35-032	8	Chris		Walker	M	Carpenter	Menuisier	N	N	516	1.18	Inverary	Ontario	Ontario	Green Party	Parti Vert
3700	ED35-033	1	Mark		Beaven	M	Field Inspector	Inspecteur itinérant	N	N	10343	23.96	Bluevale	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-033	2	Philip		Holley	M	Self-employed	Travailleur indépendant	N	N	225	0.52	Forest	Ontario	Ontario	Canadian Action	Action canadienne
